#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260602    23:07:19       0      9     30      -      0      0      0      0      0      0    405    180  21899  32739      - 
 20260602    23:07:20       0    416     48      -    100     19      0      0      0      0  13801   2857  22475  32739      - 
 20260602    23:07:21       0    577     51      -    100     19      0      0      0      0  13801   2850  22475  32739      - 
 20260602    23:07:22       0    482     40      -      0      0      0      0      0      0  13801   2925  21899  32739      - 
 20260602    23:07:23       0    403     51      -     88     17      0      0      0      0  13801   2842  22475  32739      - 
 20260602    23:07:24       0    573     53      -     99     19      0      0      0      0  13801   2835  22475  32739      - 
 20260602    23:07:25       0    534     46      -    100     29      0      0      0      0  13801   2887  21899  32739      - 
 20260602    23:07:26       0    483     54      -    100     19      0      0      0      0  13801   2835  22475  32739      - 
 20260602    23:07:27       0    575     55      -    100     19      0      0      0      0  13801   2827  22475  32739      - 
 20260602    23:07:28       0    468     42      -      0      0      0      0      0      0  13801   2925  22475  32739      - 
 20260602    23:07:29       0    506     50      -     90     17      0      0      0      0  13801   2827  22475  32739      - 
 20260602    23:07:30       0    576     56      -     89     17      0      0      0      0  13801   2827  22475  32739      - 
 20260602    23:07:32       0    418     42      -      1      0      0      0      0      0  13801   2932  21963  32739      - 
 20260602    23:07:33       0    194     50      -    100     29      0      0      0      0  13801   2857  24107  32739      - 
 20260602    23:07:34       0    578     54      -    100     28      0      0      0      0  13801   2767  24171  32739      - 
 20260602    23:07:35       0    575     56      -    100     29      0      0      0      0  13801   2767  24171  32739      - 
 20260602    23:07:36       0    574     57      -    100     29      0      0      0      0  13801   2782  24171  32739      - 
 20260602    23:07:37       0    574     55      -    100     28      0      0      0      0  13801   2767  24177  32739      - 
 20260602    23:07:38       0    572     57      -    100     29      0      0      0      0  13801   2812  24137  32739      - 
 20260602    23:07:39       0    576     58      -    100     28      0      0      0      0  13801   2797  24159  32739      - 
 20260602    23:07:40       0    576     58      -    100     29      0      0      0      0  13801   2790  24158  32739      - 
 20260602    23:07:41       0    574     59      -    100     28      0      0      0      0  13801   2775  24167  32739      - 
 20260602    23:07:42       0    574     59      -    100     28      0      0      0      0  13801   2775  24167  32739      - 
 20260602    23:07:43       0    540     56      -    100     31      0      0      0      0  13801   2865  31932  32739      - 
 20260602    23:07:44       0    258     45      -      0      0      0      0      0      0  13801   2925  20956  32739      - 
 20260602    23:07:45       0    390     50      -     98     11      0      0      0      0  13801   2865  23276  32739      - 
 20260602    23:07:46       0    453     57      -     90     19      0      0      0      0  13801   2865  23429  32739      - 
 20260602    23:07:47       0    420     58      -    100     28      0      0      0      0  13801   2820  23429  32739      - 
 20260602    23:07:48       0    541     55      -    100     15      0      0      0      0  13801   2842  23681  32739      - 
 20260602    23:07:49       0    545     55      -     88     25      0      0      0      0  13801   2782  23649  32739      - 
 20260602    23:07:50       0    576     61      -    100     28      0      0      0      0  13801   2760  23649  32739      - 
 20260602    23:07:51       0    574     61      -    100     28      0      0      0      0  13801   2760  23643  32739      - 
 20260602    23:07:52       0    573     62      -    100     27      0      0      0      0  13801   2767  23687  32739      - 
 20260602    23:07:53       0    575     62      -    100     29      0      0      0      0  13801   2797  23687  32739      - 
 20260602    23:07:54       0    575     60      -    100     28      0      0      0      0  13801   2760  23687  32739      - 
 20260602    23:07:55       0    575     62      -    100     28      0      0      0      0  13801   2752  26241  32739      - 
 20260602    23:07:56       0    434     51      -      1      0      0      0      0      0  13801   2925  21265  32739      - 
 20260602    23:07:57       0     90     47      -      0      0      0      0      0      0  13801   2925   9583  32739      - 
 20260602    23:07:58       0     71     46      -      3      1      0      0      0      0   7001    960  10889  32739      - 
 20260602    23:07:59       0     47     45      -      7      1      0      0      0      0   7001    855  12133  32739      - 
 20260602    23:08:00       0     55     45      -      8      3      0      0      0      0   7001    885  13002  32739      - 
 20260602    23:08:01       0     57     47      -      9      3      0      0      0      0   7001    840  13795  32739      - 
 20260602    23:08:03       0     59     45      -     11      3      0      0      0      0   7001   1012  14472  32739      - 
 20260602    23:08:04       0    124     53      -     99     46      0      0      0      0  13801   2400  14696  32739      - 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260602    23:08:05       0    518     57      -     89     26      0      0      0      0  13801   2857  14600  32739      - 
 20260602    23:08:06       0    391     57      -     94     26      0      0      0      0  13801   2850  14632  32739      - 
 20260602    23:08:07       0    462     49      -      0      0      0      0      0      0  13801   2910  14629  32739      - 
