2026/06/03 00:18:21.585, 13.06 W, 29, 2814 MiB, 480 MHz, 1 %
2026/06/03 00:18:22.102, 13.13 W, 29, 2814 MiB, 457 MHz, 1 %
2026/06/03 00:18:22.619, 13.04 W, 29, 2814 MiB, 457 MHz, 1 %
2026/06/03 00:18:23.136, 19.42 W, 29, 3245 MiB, 450 MHz, 1 %
2026/06/03 00:18:23.652, 38.62 W, 30, 3245 MiB, 2452 MHz, 0 %
2026/06/03 00:18:24.165, 55.24 W, 30, 19122 MiB, 2452 MHz, 1 %
2026/06/03 00:18:24.686, 68.62 W, 30, 20782 MiB, 2662 MHz, 7 %
2026/06/03 00:18:25.200, 81.62 W, 30, 20782 MiB, 2947 MHz, 7 %
2026/06/03 00:18:25.720, 86.48 W, 31, 20782 MiB, 2940 MHz, 7 %
2026/06/03 00:18:26.237, 86.61 W, 31, 20782 MiB, 2940 MHz, 7 %
2026/06/03 00:18:26.751, 74.10 W, 30, 20782 MiB, 2460 MHz, 6 %
2026/06/03 00:18:27.270, 61.42 W, 30, 20782 MiB, 2460 MHz, 6 %
2026/06/03 00:18:27.788, 58.68 W, 30, 20782 MiB, 2452 MHz, 6 %
2026/06/03 00:18:28.305, 58.75 W, 30, 20782 MiB, 2452 MHz, 6 %
2026/06/03 00:18:28.817, 58.82 W, 30, 20782 MiB, 2452 MHz, 5 %
2026/06/03 00:18:29.322, 58.89 W, 30, 20782 MiB, 2452 MHz, 6 %
2026/06/03 00:18:29.837, 49.52 W, 30, 20782 MiB, 1005 MHz, 6 %
2026/06/03 00:18:30.355, 39.14 W, 30, 20782 MiB, 892 MHz, 6 %
2026/06/03 00:18:30.871, 33.90 W, 29, 20782 MiB, 795 MHz, 33 %
2026/06/03 00:18:31.389, 32.18 W, 29, 20782 MiB, 945 MHz, 39 %
2026/06/03 00:18:31.906, 32.55 W, 30, 20782 MiB, 1222 MHz, 34 %
2026/06/03 00:18:32.423, 29.55 W, 29, 21205 MiB, 1245 MHz, 33 %
2026/06/03 00:18:32.935, 21.36 W, 29, 21205 MiB, 1087 MHz, 1 %
2026/06/03 00:18:33.440, 15.37 W, 29, 21205 MiB, 862 MHz, 1 %
2026/06/03 00:18:33.957, 13.74 W, 29, 21193 MiB, 637 MHz, 1 %
