# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0     82     35      -     77     56      0      0      0      0  13801   2932 
    0    128     30      -      1      0      0      0      0      0  13801   2940 
    0     75     30      -      1      0      0      0      0      0   7001   1687 
    0    154     37      -     89     65      0      0      0      0  13801   2902 
    0    422     38      -     89     65      0      0      0      0  13801   2902 
    0    425     40      -     90     66      0      0      0      0  13801   2902 
    0    417     40      -     90     66      0      0      0      0  13801   2902 
    0    426     41      -     90     66      0      0      0      0  13801   2902 
    0    424     41      -     89     65      0      0      0      0  13801   2902 
    0    424     41      -     90     66      0      0      0      0  13801   2902 
    0    428     41      -     89     65      0      0      0      0  13801   2902 
    0    426     42      -     89     65      0      0      0      0  13801   2902 
    0    429     43      -     88     64      0      0      0      0  13801   2902 
    0    429     43      -     90     66      0      0      0      0  13801   2902 
    0    428     43      -     89     65      0      0      0      0  13801   2902 
    0    427     44      -     90     66      0      0      0      0  13801   2902 
    0    430     44      -     89     65      0      0      0      0  13801   2895 
    0    432     44      -     90     66      0      0      0      0  13801   2895 
    0    432     45      -     89     65      0      0      0      0  13801   2895 
    0    431     45      -     89     65      0      0      0      0  13801   2895 
    0    431     45      -     90     66      0      0      0      0  13801   2895 
    0    431     45      -     90     66      0      0      0      0  13801   2895 
    0    432     46      -     90     66      0      0      0      0  13801   2895 
    0    433     46      -     90     66      0      0      0      0  13801   2895 
    0    429     46      -     90     66      0      0      0      0  13801   2895 
    0    433     47      -     90     67      0      0      0      0  13801   2895 
    0    434     47      -     88     64      0      0      0      0  13801   2895 
    0    435     47      -     89     65      0      0      0      0  13801   2895 
    0    433     47      -     89     65      0      0      0      0  13801   2895 
    0    434     48      -     90     66      0      0      0      0  13801   2895 
    0    436     48      -     88     64      0      0      0      0  13801   2895 
    0    434     48      -     90     66      0      0      0      0  13801   2895 
    0    428     48      -     89     65      0      0      0      0  13801   2895 
    0    436     49      -     89     65      0      0      0      0  13801   2895 
    0    440     49      -     90     67      0      0      0      0  13801   2895 
    0    439     49      -     88     65      0      0      0      0  13801   2895 
    0    439     49      -     88     65      0      0      0      0  13801   2895 
    0    437     50      -     89     65      0      0      0      0  13801   2895 
    0    194     43      -      0      0      0      0      0      0  13801   2932 
    0     88     42      -      1      0      0      0      0      0  13801   2940 
    0    205     49      -     88     65      0      0      0      0  13801   2887 
    0    434     49      -     89     65      0      0      0      0  13801   2895 
    0    433     49      -     87     63      0      0      0      0  13801   2895 
    0    426     50      -     90     66      0      0      0      0  13801   2895 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0    432     50      -     88     64      0      0      0      0  13801   2895 
    0    432     51      -     89     65      0      0      0      0  13801   2895 
    0    430     51      -     89     65      0      0      0      0  13801   2895 
    0    430     51      -     89     65      0      0      0      0  13801   2895 
    0    428     51      -     87     64      0      0      0      0  13801   2895 
    0    432     51      -     88     64      0      0      0      0  13801   2895 
    0    438     51      -     89     65      0      0      0      0  13801   2895 
    0    438     52      -     89     65      0      0      0      0  13801   2895 
    0    437     52      -     91     66      0      0      0      0  13801   2895 
    0    440     53      -     90     66      0      0      0      0  13801   2895 
    0    441     53      -     89     66      0      0      0      0  13801   2895 
    0    441     53      -     90     66      0      0      0      0  13801   2895 
    0    442     53      -     89     66      0      0      0      0  13801   2895 
    0    437     53      -     86     63      0      0      0      0  13801   2887 
    0    442     54      -     88     65      0      0      0      0  13801   2887 
    0    442     54      -     89     65      0      0      0      0  13801   2887 
    0    440     54      -     88     64      0      0      0      0  13801   2887 
    0    428     54      -     87     63      0      0      0      0  13801   2887 
    0    424     54      -     84     61      0      0      0      0  13801   2887 
    0    418     53      -     82     60      0      0      0      0  13801   2887 
    0    416     54      -     83     61      0      0      0      0  13801   2887 
    0    425     55      -     89     65      0      0      0      0  13801   2887 
    0    436     55      -     86     63      0      0      0      0  13801   2887 
    0    428     55      -     86     63      0      0      0      0  13801   2887 
    0    424     55      -     86     62      0      0      0      0  13801   2887 
    0    420     55      -     85     62      0      0      0      0  13801   2887 
    0    405     55      -     85     62      0      0      0      0  13801   2887 
    0    434     56      -     90     66      0      0      0      0  13801   2887 
    0    432     55      -     86     63      0      0      0      0  13801   2887 
    0    425     56      -     84     61      0      0      0      0  13801   2887 
    0    423     56      -     85     62      0      0      0      0  13801   2887 
    0    417     56      -     81     59      0      0      0      0  13801   2887 
