# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0     54     53      -     90     90      0      0      0      0  13801   1672 
    0    116     52      -      1      0      0      0      0      0  13801   2925 
    0     84     51      -      1      0      0      0      0      0   7001   2452 
    0    189     58      -     84     68      0      0      0      0  13801   2865 
    0    443     59      -     85     68      0      0      0      0  13801   2902 
    0    440     59      -     84     68      0      0      0      0  13801   2902 
    0    444     60      -     84     68      0      0      0      0  13801   2895 
    0    428     59      -     79     64      0      0      0      0  13801   2902 
    0    426     60      -     81     66      0      0      0      0  13801   2902 
    0    419     60      -     80     66      0      0      0      0  13801   2902 
    0    423     60      -     79     65      0      0      0      0  13801   2902 
    0    433     61      -     85     71      0      0      0      0  13801   2902 
    0    450     61      -     85     71      0      0      0      0  13801   2902 
    0    452     61      -     86     73      0      0      0      0  13801   2902 
    0    451     61      -     84     70      0      0      0      0  13801   2902 
    0    453     62      -     85     71      0      0      0      0  13801   2902 
    0    455     62      -     86     72      0      0      0      0  13801   2902 
    0    453     62      -     86     72      0      0      0      0  13801   2895 
    0    456     62      -     85     71      0      0      0      0  13801   2902 
    0    455     63      -     85     71      0      0      0      0  13801   2887 
    0    109     56      -      1      0      0      0      0      0  13801   2925 
    0     93     54      -      1      0      0      0      0      0  13801   2917 
    0    272     61      -     85     69      0      0      0      0  13801   2895 
    0    446     62      -     85     69      0      0      0      0  13801   2895 
    0    449     62      -     85     69      0      0      0      0  13801   2895 
    0    450     62      -     85     70      0      0      0      0  13801   2895 
    0    452     63      -     85     70      0      0      0      0  13801   2887 
    0    451     63      -     85     70      0      0      0      0  13801   2880 
    0    454     63      -     86     72      0      0      0      0  13801   2880 
    0    454     63      -     85     71      0      0      0      0  13801   2887 
    0    453     63      -     84     71      0      0      0      0  13801   2887 
    0    454     63      -     84     71      0      0      0      0  13801   2887 
    0    455     63      -     85     71      0      0      0      0  13801   2887 
    0    455     63      -     84     71      0      0      0      0  13801   2887 
    0    455     64      -     85     71      0      0      0      0  13801   2887 
    0    455     64      -     85     72      0      0      0      0  13801   2887 
    0    459     64      -     86     72      0      0      0      0  13801   2887 
    0    457     64      -     85     72      0      0      0      0  13801   2887 
    0    450     62      -     63     53      0      0      0      0  13801   2887 
    0    126     58      -      1      0      0      0      0      0  13801   2925 
    0     87     56      -      1      0      0      0      0      0  13801   1740 
    0    285     64      -     84     68      0      0      0      0  13801   2895 
    0    450     64      -     86     70      0      0      0      0  13801   2887 
    0    451     64      -     84     68      0      0      0      0  13801   2887 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0    454     65      -     85     70      0      0      0      0  13801   2887 
    0    452     64      -     84     69      0      0      0      0  13801   2887 
    0    452     64      -     83     68      0      0      0      0  13801   2887 
    0    454     65      -     84     70      0      0      0      0  13801   2887 
    0    455     65      -     85     71      0      0      0      0  13801   2887 
    0    455     65      -     83     69      0      0      0      0  13801   2887 
    0    457     65      -     85     71      0      0      0      0  13801   2887 
    0    458     66      -     85     71      0      0      0      0  13801   2887 
    0    459     66      -     84     71      0      0      0      0  13801   2887 
    0    459     66      -     85     71      0      0      0      0  13801   2887 
    0    459     66      -     85     71      0      0      0      0  13801   2887 
    0    460     66      -     84     70      0      0      0      0  13801   2887 
    0    460     67      -     85     71      0      0      0      0  13801   2887 
    0    460     66      -     84     70      0      0      0      0  13801   2887 
    0    141     59      -      1      0      0      0      0      0  13801   2925 
    0     97     58      -      1      0      0      0      0      0  13801   2925 
    0    297     65      -     85     68      0      0      0      0  13801   2887 
    0    455     65      -     85     69      0      0      0      0  13801   2887 
    0    458     65      -     85     69      0      0      0      0  13801   2880 
    0    457     66      -     86     70      0      0      0      0  13801   2880 
    0    455     66      -     85     69      0      0      0      0  13801   2887 
    0    454     66      -     82     68      0      0      0      0  13801   2887 
    0    458     67      -     83     69      0      0      0      0  13801   2887 
    0    458     67      -     85     71      0      0      0      0  13801   2887 
    0    460     67      -     85     71      0      0      0      0  13801   2887 
    0    461     67      -     85     71      0      0      0      0  13801   2887 
    0    462     67      -     85     71      0      0      0      0  13801   2887 
    0    462     67      -     84     70      0      0      0      0  13801   2887 
    0    461     67      -     85     71      0      0      0      0  13801   2880 
    0    463     67      -     84     70      0      0      0      0  13801   2887 
    0    463     67      -     85     71      0      0      0      0  13801   2887 
    0    463     67      -     85     72      0      0      0      0  13801   2887 
