#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260602    23:16:12       0     13     30      -      1     15      0      0      0      0    405    405   1742  32739      - 
 20260602    23:16:13       0     30     31      -      1      0      0      0      0      0  13801   1500   3950  32739      - 
 20260602    23:16:14       0     93     31      -      1      0      0      0      0      0  13801   2940  10768  32739      - 
 20260602    23:16:15       0    198     35      -     64      8      0      0      0      0  13801   2910  21200  32739      - 
 20260602    23:16:16       0    466     48      -    100     20      0      0      0      0  13801   2827  21936  32739      - 
 20260602    23:16:17       0    578     51      -    100     20      0      0      0      0  13801   2797  21936  32739      - 
 20260602    23:16:18       0    280     36      -      3      0      0      0      0      0  13801   2940  21541  32739      - 
 20260602    23:16:19       0     87     35      -      5      2      0      0      0      0  13801   2932  21925  32739      - 
 20260602    23:16:20       0    122     44      -     99     39      0      0      0      0   7001   1042  22085  32739      - 
 20260602    23:16:21       0    578     49      -     90     20      0      0      0      0  13801   2782  22085  32739      - 
 20260602    23:16:22       0    574     52      -     99     22      0      0      0      0  13801   2782  23909  32739      - 
 20260602    23:16:23       0    485     50      -     91     20      0      0      0      0  13801   2797  22085  32739      - 
 20260602    23:16:24       0    578     54      -     99     22      0      0      0      0  13801   2767  22085  32739      - 
 20260602    23:16:25       0    463     41      -      1      0      0      0      0      0  13801   2850  22086  32739      - 
 20260602    23:16:26       0    526     54      -     99     22      0      0      0      0  13801   2767  22086  32739      - 
 20260602    23:16:27       0    571     54      -     91     20      0      0      0      0  13801   2775  22083  32739      - 
 20260602    23:16:28       0    295     42      -     48      5      0      0      0      0  13801   2940  13157  32739      - 
 20260602    23:16:29       0    339     53      -     90     36      0      0      0      0  13801   2790  14725  32739      - 
 20260602    23:16:30       0    346     47      -     49     18      0      0      0      0  13801   2940  14725  32739      - 
 20260602    23:16:32       0    535     51      -     85     24      0      0      0      0  13801   2730  14117  32739      - 
 20260602    23:16:33       0    452     51      -     91     36      0      0      0      0  13801   2737  16549  32739      - 
 20260602    23:16:34       0    265     41      -      1      0      0      0      0      0  13801   2940   9797  32739      - 
 20260602    23:16:35       0     86     39      -      1      0      0      0      0      0  13801   2932   9797  32739      - 
 20260602    23:16:36       0     43     38      -      1      0      0      0      0      0   7001    952   9797  32739      - 
 20260602    23:16:37       0     40     37      -     25      3      0      0      0      0   7001    937  14819  32739      - 
 20260602    23:16:38       0     45     37      -     26      3      0      0      0      0   7001   1095  20739  32739      - 
 20260602    23:16:39       0     42     37      -      1      0      0      0      0      0   7001   1072  21507  32739      - 
 20260602    23:16:40       0     36     37      -      1      0      0      0      0      0   7001    847  21507  32739      - 
 20260602    23:16:41       0     35     36      -      1      1      0      0      0      0    810    712  21507  32739      - 
 20260602    23:16:42       0     31     36      -      1      1      0      0      0      0    810    630  21507  32739      - 
 20260602    23:16:43       0     17     36      -      2      6      0      0      0      0    405    615  21507  32739      - 
 20260602    23:16:44       0     17     36      -      2      6      0      0      0      0    405    615  21507  32739      - 
 20260602    23:16:45       0     18     36      -      3      9      0      0      0      0    405    607  21507  32739      - 
 20260602    23:16:46       0     68     37      -      1      0      0      0      0      0  13801   2932  21603  32739      - 
 20260602    23:16:47       0     85     37      -      1      0      0      0      0      0  13801   2932  21603  32739      - 
 20260602    23:16:48       0     64     36      -      1      0      0      0      0      0   7001   1042  21603  32739      - 
 20260602    23:16:49       0     36     36      -      1      0      0      0      0      0   7001    832  21603  32739      - 
 20260602    23:16:50       0     36     36      -      1      0      0      0      0      0   7001    705  21603  32739      - 
 20260602    23:16:51       0     33     36      -      1      1      0      0      0      0    810    622  21603  32739      - 
 20260602    23:16:52       0     31     36      -      1      1      0      0      0      0    810    570  21603  32739      - 
 20260602    23:16:53       0     18     35      -      2      8      0      0      0      0    405    615  21603  32739      - 
 20260602    23:16:54       0     17     35      -      2     11      0      0      0      0    405    607  21603  32739      - 
 20260602    23:16:55       0     16     35      -      2     12      0      0      0      0    405    607  21603  32739      - 
 20260602    23:16:56       0     17     35      -      2     12      0      0      0      0    405    622  21604  32739      - 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260602    23:16:57       0     17     35      -      2     12      0      0      0      0    405    615  21604  32739      - 
 20260602    23:16:58       0     17     35      -      2     11      0      0      0      0    405    615  21604  32739      - 
 20260602    23:16:59       0     17     35      -      1      5      0      0      0      0    405    615  21604  32739      - 
 20260602    23:17:00       0     17     35      -      1      5      0      0      0      0    405    630  21604  32739      - 
 20260602    23:17:01       0     17     35      -      1      5      0      0      0      0    405    630  21604  32739      - 
 20260602    23:17:02       0     17     35      -      1      9      0      0      0      0    405    592  21604  32739      - 
 20260602    23:17:03       0     16     35      -      1      7      0      0      0      0    405    607  21604  32739      - 
 20260602    23:17:04       0     16     34      -      1      3      0      0      0      0    405    615  21604  32739      - 
 20260602    23:17:05       0     17     34      -      2      6      0      0      0      0    405    600  21604  32739      - 
 20260602    23:17:06       0     17     34      -      2      6      0      0      0      0    405    630  21604  32739      - 
 20260602    23:17:07       0     17     34      -      2     10      0      0      0      0    405    637  21604  32739      - 
 20260602    23:17:08       0     17     34      -      2     16      0      0      0      0    405    667  21604  32739      - 
 20260602    23:17:09       0     17     34      -      2     14      0      0      0      0    405    645  21604  32739      - 
 20260602    23:17:10       0     16     34      -      2      7      0      0      0      0    405    630  21604  32739      - 
 20260602    23:17:11       0     16     34      -      2     18      0      0      0      0    405    622  21604  32739      - 
 20260602    23:17:12       0     17     34      -      2     17      0      0      0      0    405    637  21604  32739      - 
 20260602    23:17:13       0     16     34      -      2      5      0      0      0      0    405    645  21604  32739      - 
 20260602    23:17:14       0     17     34      -      2     10      0      0      0      0    405    615  21604  32739      - 
 20260602    23:17:15       0     17     34      -      2      6      0      0      0      0    405    652  21604  32739      - 
 20260602    23:17:16       0     17     34      -      2      3      0      0      0      0    405    645  21604  32739      - 
 20260602    23:17:17       0     16     34      -      2      5      0      0      0      0    405    600  21604  32739      - 
 20260602    23:17:18       0    100     37      -     76     73      0      0      0      0  13801   2925  21956  32739      - 
 20260602    23:17:19       0    416     48      -     91     40      0      0      0      0  13801   2850  21956  32739      - 
