2026/06/03 00:30:41.382, 13.05 W, 29, 2325 MiB, 405 MHz, 1 %
2026/06/03 00:30:41.893, 13.24 W, 29, 2369 MiB, 405 MHz, 3 %
2026/06/03 00:30:42.400, 19.96 W, 30, 3115 MiB, 1327 MHz, 42 %
2026/06/03 00:30:43.047, 22.33 W, 30, 3271 MiB, 645 MHz, 33 %
2026/06/03 00:30:43.564, 20.82 W, 30, 3783 MiB, 930 MHz, 28 %
2026/06/03 00:30:44.166, 30.54 W, 30, 4519 MiB, 1170 MHz, 25 %
2026/06/03 00:30:44.765, 26.61 W, 30, 5063 MiB, 1207 MHz, 14 %
2026/06/03 00:30:45.402, 26.83 W, 30, 5607 MiB, 1230 MHz, 20 %
2026/06/03 00:30:46.031, 29.82 W, 30, 5959 MiB, 1095 MHz, 17 %
2026/06/03 00:30:46.600, 33.64 W, 30, 6439 MiB, 1365 MHz, 18 %
2026/06/03 00:30:47.217, 30.06 W, 30, 6983 MiB, 1222 MHz, 22 %
2026/06/03 00:30:47.801, 26.36 W, 30, 7463 MiB, 1282 MHz, 21 %
2026/06/03 00:30:48.366, 31.55 W, 30, 7815 MiB, 1155 MHz, 29 %
2026/06/03 00:30:48.902, 35.55 W, 30, 8199 MiB, 1222 MHz, 44 %
2026/06/03 00:30:49.451, 35.38 W, 30, 8647 MiB, 1395 MHz, 20 %
2026/06/03 00:30:49.968, 34.25 W, 30, 8999 MiB, 1357 MHz, 30 %
2026/06/03 00:30:50.486, 27.86 W, 30, 9447 MiB, 1357 MHz, 28 %
2026/06/03 00:30:51.018, 27.15 W, 30, 9831 MiB, 1372 MHz, 14 %
2026/06/03 00:30:51.553, 28.89 W, 30, 10215 MiB, 1267 MHz, 23 %
2026/06/03 00:30:52.102, 33.25 W, 30, 10215 MiB, 1132 MHz, 42 %
2026/06/03 00:30:52.615, 34.74 W, 30, 10505 MiB, 1972 MHz, 11 %
2026/06/03 00:30:53.133, 26.05 W, 30, 11081 MiB, 1297 MHz, 15 %
2026/06/03 00:30:53.721, 20.40 W, 30, 11657 MiB, 1372 MHz, 15 %
2026/06/03 00:30:54.254, 40.38 W, 30, 12201 MiB, 1387 MHz, 4 %
2026/06/03 00:30:54.771, 51.28 W, 30, 12585 MiB, 1447 MHz, 6 %
2026/06/03 00:30:55.338, 49.28 W, 30, 13129 MiB, 1470 MHz, 6 %
2026/06/03 00:30:55.870, 50.69 W, 30, 13737 MiB, 1485 MHz, 6 %
2026/06/03 00:30:56.433, 51.16 W, 32, 14217 MiB, 742 MHz, 7 %
2026/06/03 00:30:56.948, 58.44 W, 31, 14601 MiB, 2452 MHz, 6 %
2026/06/03 00:30:57.488, 67.23 W, 31, 15049 MiB, 2467 MHz, 4 %
2026/06/03 00:30:58.020, 68.05 W, 31, 15433 MiB, 2452 MHz, 4 %
2026/06/03 00:30:58.573, 67.03 W, 31, 15785 MiB, 2460 MHz, 6 %
2026/06/03 00:30:59.088, 67.40 W, 31, 16201 MiB, 2460 MHz, 5 %
2026/06/03 00:30:59.606, 66.70 W, 31, 16617 MiB, 2467 MHz, 6 %
2026/06/03 00:31:00.140, 55.61 W, 30, 17097 MiB, 982 MHz, 3 %
2026/06/03 00:31:00.688, 46.08 W, 30, 17513 MiB, 937 MHz, 5 %
2026/06/03 00:31:01.205, 45.84 W, 30, 17929 MiB, 840 MHz, 5 %
2026/06/03 00:31:01.721, 45.37 W, 31, 18345 MiB, 795 MHz, 6 %
2026/06/03 00:31:02.255, 49.25 W, 31, 18825 MiB, 1200 MHz, 34 %
2026/06/03 00:31:02.805, 48.50 W, 30, 19177 MiB, 1282 MHz, 19 %
2026/06/03 00:31:03.320, 40.26 W, 30, 19561 MiB, 1237 MHz, 26 %
2026/06/03 00:31:03.843, 39.61 W, 30, 19977 MiB, 1245 MHz, 25 %
2026/06/03 00:31:04.387, 50.98 W, 31, 20457 MiB, 1732 MHz, 5 %
2026/06/03 00:31:04.941, 62.78 W, 31, 20905 MiB, 2220 MHz, 6 %
2026/06/03 00:31:05.456, 64.47 W, 31, 21289 MiB, 2227 MHz, 7 %
2026/06/03 00:31:05.959, 63.51 W, 31, 21705 MiB, 2227 MHz, 4 %
2026/06/03 00:31:06.510, 57.01 W, 31, 22121 MiB, 975 MHz, 5 %
2026/06/03 00:31:07.059, 47.56 W, 30, 22441 MiB, 870 MHz, 6 %
2026/06/03 00:31:07.576, 79.56 W, 40, 22601 MiB, 802 MHz, 72 %
2026/06/03 00:31:08.091, 351.27 W, 46, 22601 MiB, 2880 MHz, 100 %
2026/06/03 00:31:08.595, 565.17 W, 49, 22601 MiB, 2805 MHz, 100 %
2026/06/03 00:31:09.108, 576.84 W, 50, 22601 MiB, 2797 MHz, 100 %
2026/06/03 00:31:09.625, 556.66 W, 44, 23273 MiB, 2790 MHz, 55 %
2026/06/03 00:31:10.141, 354.47 W, 38, 22633 MiB, 2932 MHz, 51 %
2026/06/03 00:31:10.648, 206.18 W, 46, 22633 MiB, 2932 MHz, 100 %
2026/06/03 00:31:11.162, 379.25 W, 49, 22633 MiB, 2812 MHz, 92 %
2026/06/03 00:31:11.674, 584.96 W, 51, 22633 MiB, 2797 MHz, 100 %
2026/06/03 00:31:12.180, 575.26 W, 52, 22633 MiB, 2797 MHz, 100 %
2026/06/03 00:31:12.695, 573.16 W, 53, 22057 MiB, 2797 MHz, 91 %
2026/06/03 00:31:13.205, 472.13 W, 40, 22633 MiB, 2805 MHz, 1 %
2026/06/03 00:31:13.709, 458.52 W, 53, 22633 MiB, 2850 MHz, 100 %
2026/06/03 00:31:14.214, 558.60 W, 54, 22633 MiB, 2797 MHz, 93 %
