#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 19:47:44       0     67     32      -      9      5      0      0      0      0  13801   2475 
 19:47:45       0    137     32      -      1      0      0      0      0      0  13801   2947 
 19:47:46       0     83     31      -      1      0      0      0      0      0  13801   2827 
 19:47:47       0    229     39      -     90     78      0      0      0      0  13801   2902 
 19:47:48       0    469     41      -     92     79      0      0      0      0  13801   2910 
 19:47:49       0    469     41      -     87     75      0      0      0      0  13801   2910 
 19:47:50       0    470     43      -     91     80      0      0      0      0  13801   2910 
 19:47:51       0    476     43      -     91     80      0      0      0      0  13801   2910 
 19:47:52       0    477     44      -     91     80      0      0      0      0  13801   2910 
 19:47:53       0    476     44      -     92     80      0      0      0      0  13801   2895 
 19:47:54       0    475     44      -     91     79      0      0      0      0  13801   2895 
 19:47:55       0    477     45      -     91     80      0      0      0      0  13801   2895 
 19:47:56       0    478     45      -     91     79      0      0      0      0  13801   2895 
 19:47:57       0    478     46      -     92     80      0      0      0      0  13801   2895 
 19:47:58       0    476     46      -     92     80      0      0      0      0  13801   2895 
 19:47:59       0    478     46      -     91     79      0      0      0      0  13801   2895 
 19:48:00       0    477     47      -     92     80      0      0      0      0  13801   2895 
 19:48:01       0    480     47      -     91     80      0      0      0      0  13801   2895 
 19:48:02       0    480     47      -     91     79      0      0      0      0  13801   2895 
 19:48:03       0    479     48      -     93     81      0      0      0      0  13801   2895 
 19:48:04       0    480     48      -     92     80      0      0      0      0  13801   2895 
 19:48:05       0    480     48      -     92     80      0      0      0      0  13801   2895 
 19:48:06       0    480     48      -     92     81      0      0      0      0  13801   2895 
 19:48:07       0    480     49      -     92     81      0      0      0      0  13801   2895 
 19:48:08       0    480     49      -     93     81      0      0      0      0  13801   2895 
 19:48:09       0    482     50      -     91     80      0      0      0      0  13801   2895 
 19:48:10       0    484     50      -     92     81      0      0      0      0  13801   2895 
 19:48:11       0    483     50      -     91     80      0      0      0      0  13801   2895 
 19:48:12       0    482     51      -     90     79      0      0      0      0  13801   2895 
 19:48:13       0    479     51      -     91     80      0      0      0      0  13801   2895 
 19:48:14       0    484     51      -     92     80      0      0      0      0  13801   2895 
 19:48:15       0    482     51      -     89     77      0      0      0      0  13801   2895 
 19:48:17       0    482     52      -     91     79      0      0      0      0  13801   2895 
 19:48:18       0    483     52      -     91     80      0      0      0      0  13801   2895 
 19:48:19       0    483     52      -     90     79      0      0      0      0  13801   2895 
 19:48:20       0    485     53      -     91     80      0      0      0      0  13801   2895 
 19:48:21       0    482     53      -     91     79      0      0      0      0  13801   2895 
 19:48:22       0    288     46      -      1      0      0      0      0      0  13801   2925 
 19:48:23       0     89     45      -      1      0      0      0      0      0  13801   2925 
 19:48:24       0    145     51      -     92     79      0      0      0      0  13801   2182 
 19:48:25       0    483     52      -     91     78      0      0      0      0  13801   2895 
 19:48:26       0    483     53      -     91     78      0      0      0      0  13801   2895 
 19:48:27       0    486     53      -     92     82      0      0      0      0  13801   2887 
 19:48:28       0    487     54      -     91     80      0      0      0      0  13801   2887 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 19:48:29       0    487     54      -     92     80      0      0      0      0  13801   2887 
 19:48:30       0    486     54      -     91     79      0      0      0      0  13801   2887 
