timestamp,memory.used,power.draw,temperature.gpu,utilization.gpu
2026/06/03 10:28:42.558, 2881 MiB, 18.75 W, 33, 6 %
2026/06/03 10:28:43.572, 2877 MiB, 19.06 W, 33, 6 %
2026/06/03 10:28:44.583, 2866 MiB, 19.56 W, 33, 6 %
2026/06/03 10:28:45.598, 2866 MiB, 19.41 W, 33, 6 %
2026/06/03 10:28:46.608, 2867 MiB, 19.81 W, 33, 6 %
2026/06/03 10:28:47.622, 2861 MiB, 20.24 W, 33, 6 %
2026/06/03 10:28:48.632, 2861 MiB, 19.31 W, 33, 6 %
2026/06/03 10:28:49.645, 2861 MiB, 19.41 W, 33, 6 %
2026/06/03 10:28:50.657, 2861 MiB, 19.18 W, 33, 6 %
2026/06/03 10:28:51.669, 2861 MiB, 20.51 W, 33, 6 %
2026/06/03 10:28:52.681, 2861 MiB, 20.41 W, 33, 6 %
2026/06/03 10:28:53.688, 2861 MiB, 20.41 W, 33, 6 %
2026/06/03 10:28:54.700, 2861 MiB, 20.16 W, 33, 6 %
2026/06/03 10:28:55.711, 2861 MiB, 20.51 W, 33, 6 %
2026/06/03 10:28:56.717, 2861 MiB, 20.76 W, 33, 6 %
2026/06/03 10:28:57.728, 2861 MiB, 20.20 W, 33, 6 %
2026/06/03 10:28:58.741, 2861 MiB, 19.83 W, 33, 6 %
2026/06/03 10:28:59.755, 2861 MiB, 19.92 W, 33, 6 %
2026/06/03 10:29:00.757, 2861 MiB, 19.88 W, 33, 6 %
2026/06/03 10:29:01.769, 2861 MiB, 20.91 W, 33, 6 %
2026/06/03 10:29:02.778, 5408 MiB, 21.47 W, 33, 9 %
2026/06/03 10:29:03.791, 5652 MiB, 102.55 W, 34, 10 %
2026/06/03 10:29:04.803, 3842 MiB, 162.01 W, 38, 30 %
2026/06/03 10:29:05.803, 5650 MiB, 158.06 W, 39, 46 %
2026/06/03 10:29:06.806, 3842 MiB, 165.45 W, 41, 65 %
2026/06/03 10:29:07.820, 5128 MiB, 111.06 W, 35, 5 %
2026/06/03 10:29:08.835, 8318 MiB, 62.46 W, 35, 26 %
2026/06/03 10:29:09.840, 10514 MiB, 71.37 W, 34, 6 %
2026/06/03 10:29:10.841, 10514 MiB, 53.49 W, 34, 1 %
2026/06/03 10:29:11.856, 10514 MiB, 38.68 W, 34, 1 %
2026/06/03 10:29:12.867, 10514 MiB, 34.53 W, 34, 2 %
2026/06/03 10:29:13.882, 13632 MiB, 27.70 W, 33, 5 %
2026/06/03 10:29:14.897, 19890 MiB, 130.85 W, 38, 54 %
2026/06/03 10:29:15.910, 19890 MiB, 191.87 W, 37, 33 %
2026/06/03 10:29:16.925, 19890 MiB, 195.13 W, 39, 36 %
2026/06/03 10:29:17.927, 19890 MiB, 223.91 W, 39, 52 %
2026/06/03 10:29:18.941, 19888 MiB, 209.40 W, 39, 45 %
2026/06/03 10:29:19.952, 19888 MiB, 224.12 W, 38, 32 %
2026/06/03 10:29:20.954, 19888 MiB, 191.53 W, 39, 43 %
2026/06/03 10:29:21.957, 19888 MiB, 230.35 W, 38, 38 %
2026/06/03 10:29:22.972, 19888 MiB, 205.90 W, 41, 39 %
2026/06/03 10:29:23.985, 19888 MiB, 215.21 W, 38, 31 %
2026/06/03 10:29:24.987, 19888 MiB, 205.98 W, 39, 39 %
2026/06/03 10:29:26.000, 19888 MiB, 217.82 W, 38, 13 %
2026/06/03 10:29:27.000, 19888 MiB, 221.50 W, 40, 44 %
2026/06/03 10:29:28.015, 19888 MiB, 202.38 W, 38, 20 %
2026/06/03 10:29:29.017, 19888 MiB, 220.83 W, 40, 56 %
2026/06/03 10:29:30.030, 19888 MiB, 206.17 W, 39, 20 %
2026/06/03 10:29:31.045, 19888 MiB, 211.74 W, 41, 46 %
2026/06/03 10:29:32.046, 19888 MiB, 204.20 W, 39, 21 %
2026/06/03 10:29:33.051, 19888 MiB, 230.90 W, 42, 56 %
2026/06/03 10:29:34.064, 19888 MiB, 191.18 W, 39, 19 %
2026/06/03 10:29:35.065, 19888 MiB, 220.96 W, 41, 41 %
2026/06/03 10:29:36.080, 19888 MiB, 204.95 W, 39, 21 %
2026/06/03 10:29:37.089, 19888 MiB, 211.75 W, 42, 58 %
2026/06/03 10:29:38.091, 19888 MiB, 208.64 W, 39, 11 %
2026/06/03 10:29:39.104, 19888 MiB, 230.37 W, 42, 46 %
2026/06/03 10:29:40.107, 19888 MiB, 212.54 W, 42, 47 %
2026/06/03 10:29:41.112, 19888 MiB, 163.98 W, 39, 1 %
2026/06/03 10:29:42.113, 19888 MiB, 82.64 W, 38, 1 %
2026/06/03 10:29:43.124, 2859 MiB, 37.18 W, 37, 1 %
